Decrease,Distance from Center,Mins to Event
33.333,330.169,-30
16.667,250.162,-30
33.333,212.996,-30
16.667,608.301,-30
16.667,156.090,-30
16.667,565.732,-30
16.667,501.697,-30
44.000,322.453,30
44.000,250.162,30
48.148,212.996,30
3.226,408.870,30
44.000,565.732,30
44.000,449.427,30
44.000,401.407,30
4.839,582.630,30
44.000,422.823,30
44.000,434.372,30
44.000,501.697,30
3.226,334.948,30
44.000,209.408,30
48.148,541.059,30
1.613,0.000,60
1.613,503.313,60
1.613,405.476,60
1.613,475.670,60
9.375,322.453,60
9.375,250.162,60
9.375,212.996,60
1.695,451.246,60
6.452,408.870,60
1.613,478.533,60
9.375,565.732,60
9.375,449.427,60
9.375,401.407,60
6.452,582.630,60
9.375,422.823,60
1.613,283.762,60
9.375,434.372,60
1.613,248.898,60
9.375,501.697,60
1.613,147.739,60
6.452,334.948,60
1.613,409.785,60
9.375,209.408,60
1.613,264.351,60
9.375,541.059,60
3.226,408.870,90
3.226,582.630,90
3.226,334.948,90
6.250,322.453,120
6.250,250.162,120
6.250,212.996,120
6.452,408.870,120
6.250,565.732,120
6.250,449.427,120
6.250,401.407,120
3.226,582.630,120
6.250,422.823,120
6.250,434.372,120
6.250,501.697,120
6.452,334.948,120
1.695,435.321,120
6.250,209.408,120
6.250,541.059,120
3.390,451.246,150
9.524,408.870,150
1.563,478.533,150
8.824,565.732,150
8.824,401.407,150
7.813,582.630,150
8.824,422.823,150
8.824,434.372,150
8.824,501.697,150
9.375,334.948,150
3.390,435.321,150
8.824,541.059,150
6.250,432.865,210
6.250,330.169,210
6.250,322.453,210
6.250,250.162,210
6.250,212.996,210
6.250,608.301,210
6.250,156.090,210
6.250,565.732,210
6.250,449.427,210
6.250,401.407,210
1.667,582.630,210
6.250,422.823,210
6.250,434.372,210
6.250,501.697,210
6.250,265.410,210
6.250,209.408,210
6.250,541.059,210
6.250,605.528,210
1.613,480.947,240
1.613,443.999,240
1.613,451.246,240
1.613,408.870,240
1.613,536.955,240
1.613,334.948,240
1.613,435.321,240
1.613,431.337,240
3.333,0.000,120
1.667,1329.509,120
3.333,722.999,120
3.333,325.450,120
3.333,321.247,120
3.390,713.493,120
22.222,2148.111,120
3.077,2592.661,150
3.077,2594.824,150
3.077,2252.597,150
26.087,2248.532,150
1.786,2344.508,150
3.077,1959.016,150
1.639,1327.410,150
20.833,1324.385,150
1.786,2161.377,150
20.833,963.633,150
1.667,2063.398,150
